Stock Ticker,Date,Price
NFLX,2024-10-15,708.440002
NFLX,2024-10-22,762.23999
NFLX,2024-10-29,760.580017
NFLX,2024-11-05,764.929993
NFLX,2024-11-12,814.820007
NFLX,2024-11-19,866.859924
NFLX,2024-11-26,876.549988
NFLX,2024-12-03,899.460022
NFLX,2024-12-10,916.330017
NFLX,2024-12-17,920.26001
GOOGL,2024-03-05,132.744995
GOOGL,2024-03-12,139.065002
GOOGL,2024-03-19,146.809998
GOOGL,2024-03-26,151.695007
GOOGL,2024-04-02,153.725006
GOOGL,2024-04-09,156.565002
GOOGL,2024-04-16,154.669998
GOOGL,2024-04-23,158.789993
GOOGL,2024-04-30,164.289993
GOOGL,2024-05-07,171.190002
GOOGL,2024-05-14,170.619995
GOOGL,2024-05-21,177.134995
GOOGL,2024-05-28,175.970001
GOOGL,2024-06-04,172.5
GOOGL,2024-06-11,174.844894
GOOGL,2024-06-18,174.910004
GOOGL,2024-06-25,182.0784
GOOGL,2024-07-02,184.755005
GOOGL,2024-07-09,188.916107
GOOGL,2024-07-16,184.070007
GOOGL,2024-07-23,182.779999
GOOGL,2024-07-30,169.5
GOOGL,2024-08-06,159.460007
GOOGL,2024-08-13,164.185104
GOOGL,2024-08-20,167.860001
GOOGL,2024-08-27,166.051498
GOOGL,2024-09-03,159.059998
GOOGL,2024-09-10,149.342499
GOOGL,2024-09-17,158.929993
GOOGL,2024-09-24,162.300003
GOOGL,2024-10-01,165.830002
GOOGL,2024-10-08,163.279999
GOOGL,2024-10-15,165.341995
GOOGL,2024-10-22,164.547501
GOOGL,2024-10-29,169.509995
GOOGL,2024-11-05,170.119995
GOOGL,2024-11-12,181.139801
GOOGL,2024-11-19,177.664993
GOOGL,2024-11-26,169.440002
GOOGL,2024-12-03,171.318405
GOOGL,2024-12-10,184.449997
GOOGL,2024-12-17,197.380005
