Ticker,Date,Midday Price
MMM,2023-08-15,"Ticker
MMM    101.261902
Name: 2023-08-15 12:30:00, dtype: float64"
MMM,2023-08-22,"Ticker
MMM    98.680099
Name: 2023-08-22 12:30:00, dtype: float64"
MMM,2023-08-29,"Ticker
MMM    106.150002
Name: 2023-08-29 12:30:00, dtype: float64"
MMM,2023-09-05,"Ticker
MMM    107.360001
Name: 2023-09-05 12:30:00, dtype: float64"
MMM,2023-09-12,"Ticker
MMM    108.120003
Name: 2023-09-12 12:30:00, dtype: float64"
MMM,2023-09-19,"Ticker
MMM    100.150002
Name: 2023-09-19 12:30:00, dtype: float64"
MMM,2023-09-26,"Ticker
MMM    94.331398
Name: 2023-09-26 12:30:00, dtype: float64"
MMM,2023-10-03,"Ticker
MMM    88.790001
Name: 2023-10-03 12:30:00, dtype: float64"
MMM,2023-10-10,"Ticker
MMM    90.440002
Name: 2023-10-10 12:30:00, dtype: float64"
MMM,2023-10-17,"Ticker
MMM    90.469704
Name: 2023-10-17 12:30:00, dtype: float64"
MMM,2023-10-24,"Ticker
MMM    89.724998
Name: 2023-10-24 12:30:00, dtype: float64"
MMM,2023-10-31,"Ticker
MMM    91.470001
Name: 2023-10-31 12:30:00, dtype: float64"
MMM,2023-11-07,"Ticker
MMM    92.800003
Name: 2023-11-07 12:30:00, dtype: float64"
MMM,2023-11-14,"Ticker
MMM    94.870003
Name: 2023-11-14 12:30:00, dtype: float64"
MMM,2023-11-21,"Ticker
MMM    93.940002
Name: 2023-11-21 12:30:00, dtype: float64"
MMM,2023-11-28,"Ticker
MMM    98.305
Name: 2023-11-28 12:30:00, dtype: float64"
MMM,2023-12-05,"Ticker
MMM    102.43
Name: 2023-12-05 12:30:00, dtype: float64"
MMM,2023-12-12,"Ticker
MMM    102.485001
Name: 2023-12-12 12:30:00, dtype: float64"
MMM,2023-12-19,"Ticker
MMM    106.184998
Name: 2023-12-19 12:30:00, dtype: float64"
MMM,2023-12-26,"Ticker
MMM    108.459999
Name: 2023-12-26 12:30:00, dtype: float64"
