Stock Ticker,Date,Price,Change
AMZN,2023-10-03,125.099998,-0.0162774241767308
AMZN,2023-10-10,129.615005,0.03609118363055447
AMZN,2023-10-17,131.970001,0.01816916181888046
AMZN,2023-10-24,127.315002,-0.035273160299513745
AMZN,2023-10-31,132.529999,0.04096137075817661
AMZN,2023-11-07,143.080002,0.07960464105941782
AMZN,2023-11-14,146.460007,0.023623182504568196
AMZN,2023-11-21,143.003006,-0.023603720024402235
AMZN,2023-11-28,146.910004,0.027321090019604116
AMZN,2023-12-05,146.529999,-0.002586651621083496
AMZN,2023-12-12,146.699997,0.0011601583372698484
AMZN,2023-12-19,153.429993,0.04587591095860759
AMZN,2023-12-26,153.184998,-0.0015967868811672876
GOOGL,2023-03-07,94.283302,0.0
GOOGL,2023-03-14,93.190102,-0.01159484210682407
GOOGL,2023-03-21,104.839996,0.12501213916473666
GOOGL,2023-03-28,100.690002,-0.03958407247554638
GOOGL,2023-04-04,104.714996,0.03997411778778187
GOOGL,2023-04-11,105.684998,0.009263257766824474
GOOGL,2023-04-18,104.519997,-0.011023333699641926
GOOGL,2023-04-25,105.019997,0.004783773577796792
GOOGL,2023-05-02,105.57,0.005237126411268033
GOOGL,2023-05-09,108.095001,0.023917789144643396
GOOGL,2023-05-16,119.989998,0.11004206383235061
GOOGL,2023-05-23,123.129997,0.026168839506106194
GOOGL,2023-05-30,123.2957,0.0013457565502904502
GOOGL,2023-06-06,128.274994,0.04038497692944682
GOOGL,2023-06-13,123.989899,-0.03340553654596155
GOOGL,2023-06-20,123.449997,-0.00435440309536826
GOOGL,2023-06-27,118.026802,-0.043930296733826514
GOOGL,2023-07-11,117.129997,-0.007598316524750035
GOOGL,2023-07-18,123.5,0.05438404476352882
GOOGL,2023-07-25,122.925003,-0.004655846153846123
GOOGL,2023-08-01,131.824997,0.07240182048236347
GOOGL,2023-08-08,131.050003,-0.005878960877199886
GOOGL,2023-08-15,130.669998,-0.0028996947066076088
GOOGL,2023-08-22,129.070007,-0.012244516908923414
GOOGL,2023-08-29,134.360001,0.04098546302860282
GOOGL,2023-09-05,135.539993,0.008782316100161376
GOOGL,2023-09-12,136.089996,0.004057865046518069
GOOGL,2023-09-19,137.270004,0.008670791642906555
GOOGL,2023-09-26,128.210007,-0.06600128750633685
GOOGL,2023-10-03,132.925003,0.036775569320419844
GOOGL,2023-10-10,138.904999,0.04498774395363376
GOOGL,2023-10-17,139.539993,0.004571426547434812
GOOGL,2023-10-24,138.110001,-0.010247900757741893
GOOGL,2023-10-31,123.230003,-0.10774019181999726
GOOGL,2023-11-07,131.585007,0.06780007949849676
GOOGL,2023-11-14,134.880005,0.0250408315895748
GOOGL,2023-11-21,136.619995,0.012900281253696405
GOOGL,2023-11-28,136.520004,-0.0007318914043291293
GOOGL,2023-12-05,130.475006,-0.044279210539724216
GOOGL,2023-12-12,132.520004,0.015673484621261426
GOOGL,2023-12-19,136.705002,0.03158012280168666
GOOGL,2023-12-26,141.375,0.03416113479154181
